district,date,month,year,visitors,visitor_type
Adilabad,2016-01-01,January,2016,792136,Domestic
Adilabad,2016-02-01,February,2016,937820,Domestic
Adilabad,2016-03-01,March,2016,582946,Domestic
Adilabad,2016-04-01,April,2016,341948,Domestic
Adilabad,2016-05-01,May,2016,252887,Domestic
Adilabad,2016-06-01,June,2016,368237,Domestic
Adilabad,2016-07-01,July,2016,447562,Domestic
Adilabad,2016-08-01,August,2016,614285,Domestic
Adilabad,2016-09-01,September,2016,491279,Domestic
Adilabad,2016-10-01,October,2016,94184,Domestic
Adilabad,2016-11-01,November,2016,99148,Domestic
Adilabad,2016-12-01,December,2016,53125,Domestic
Bhadradri Kothagudem,2016-01-01,January,2016,0,Domestic
Bhadradri Kothagudem,2016-02-01,February,2016,0,Domestic
Bhadradri Kothagudem,2016-03-01,March,2016,0,Domestic
Bhadradri Kothagudem,2016-04-01,April,2016,0,Domestic
Bhadradri Kothagudem,2016-05-01,May,2016,0,Domestic
Bhadradri Kothagudem,2016-06-01,June,2016,0,Domestic
Bhadradri Kothagudem,2016-07-01,July,2016,0,Domestic
Bhadradri Kothagudem,2016-08-01,August,2016,0,Domestic
Bhadradri Kothagudem,2016-09-01,September,2016,0,Domestic
Bhadradri Kothagudem,2016-10-01,October,2016,310133,Domestic
Bhadradri Kothagudem,2016-11-01,November,2016,252127,Domestic
Bhadradri Kothagudem,2016-12-01,December,2016,326770,Domestic
Hyderabad,2016-01-01,January,2016,1122510,Domestic
Hyderabad,2016-02-01,February,2016,778748,Domestic
Hyderabad,2016-03-01,March,2016,1017794,Domestic
Hyderabad,2016-04-01,April,2016,1127738,Domestic
Hyderabad,2016-05-01,May,2016,1287181,Domestic
Hyderabad,2016-06-01,June,2016,12032661,Domestic
Hyderabad,2016-07-01,July,2016,1096754,Domestic
Hyderabad,2016-08-01,August,2016,1061137,Domestic
Hyderabad,2016-09-01,September,2016,832987,Domestic
Hyderabad,2016-10-01,October,2016,901960,Domestic
Hyderabad,2016-11-01,November,2016,909733,Domestic
Hyderabad,2016-12-01,December,2016,1225502,Domestic
Jagtial,2016-01-01,January,2016,0,Domestic
Jagtial,2016-02-01,February,2016,0,Domestic
Jagtial,2016-03-01,March,2016,0,Domestic
Jagtial,2016-04-01,April,2016,0,Domestic
Jagtial,2016-05-01,May,2016,0,Domestic
Jagtial,2016-06-01,June,2016,0,Domestic
Jagtial,2016-07-01,July,2016,0,Domestic
Jagtial,2016-08-01,August,2016,0,Domestic
Jagtial,2016-09-01,September,2016,0,Domestic
Jagtial,2016-10-01,October,2016,201249,Domestic
Jagtial,2016-11-01,November,2016,214534,Domestic
Jagtial,2016-12-01,December,2016,207294,Domestic
Jangaon,2016-01-01,January,2016,0,Domestic
Jangaon,2016-02-01,February,2016,0,Domestic
Jangaon,2016-03-01,March,2016,0,Domestic
Jangaon,2016-04-01,April,2016,0,Domestic
Jangaon,2016-05-01,May,2016,0,Domestic
Jangaon,2016-06-01,June,2016,0,Domestic
Jangaon,2016-07-01,July,2016,0,Domestic
Jangaon,2016-08-01,August,2016,0,Domestic
Jangaon,2016-09-01,September,2016,0,Domestic
Jangaon,2016-10-01,October,2016,14770,Domestic
Jangaon,2016-11-01,November,2016,13210,Domestic
Jangaon,2016-12-01,December,2016,12680,Domestic
Jayashankar Bhoopalpally,2016-01-01,January,2016,0,Domestic
Jayashankar Bhoopalpally,2016-02-01,February,2016,0,Domestic
Jayashankar Bhoopalpally,2016-03-01,March,2016,0,Domestic
Jayashankar Bhoopalpally,2016-04-01,April,2016,0,Domestic
Jayashankar Bhoopalpally,2016-05-01,May,2016,0,Domestic
Jayashankar Bhoopalpally,2016-06-01,June,2016,0,Domestic
Jayashankar Bhoopalpally,2016-07-01,July,2016,0,Domestic
Jayashankar Bhoopalpally,2016-08-01,August,2016,0,Domestic
Jayashankar Bhoopalpally,2016-09-01,September,2016,0,Domestic
Jayashankar Bhoopalpally,2016-10-01,October,2016,76360,Domestic
Jayashankar Bhoopalpally,2016-11-01,November,2016,81580,Domestic
Jayashankar Bhoopalpally,2016-12-01,December,2016,85460,Domestic
Jogulamba Gadwal,2016-01-01,January,2016,0,Domestic
Jogulamba Gadwal,2016-02-01,February,2016,0,Domestic
Jogulamba Gadwal,2016-03-01,March,2016,0,Domestic
Jogulamba Gadwal,2016-04-01,April,2016,0,Domestic
Jogulamba Gadwal,2016-05-01,May,2016,0,Domestic
Jogulamba Gadwal,2016-06-01,June,2016,0,Domestic
Jogulamba Gadwal,2016-07-01,July,2016,0,Domestic
Jogulamba Gadwal,2016-08-01,August,2016,0,Domestic
Jogulamba Gadwal,2016-09-01,September,2016,0,Domestic
Jogulamba Gadwal,2016-10-01,October,2016,152898,Domestic
Jogulamba Gadwal,2016-11-01,November,2016,188170,Domestic
Jogulamba Gadwal,2016-12-01,December,2016,182333,Domestic
Kamareddy,2016-01-01,January,2016,0,Domestic
Kamareddy,2016-02-01,February,2016,0,Domestic
Kamareddy,2016-03-01,March,2016,0,Domestic
Kamareddy,2016-04-01,April,2016,0,Domestic
Kamareddy,2016-05-01,May,2016,0,Domestic
Kamareddy,2016-06-01,June,2016,0,Domestic
Kamareddy,2016-07-01,July,2016,0,Domestic
Kamareddy,2016-08-01,August,2016,0,Domestic
Kamareddy,2016-09-01,September,2016,0,Domestic
Kamareddy,2016-10-01,October,2016,47,Domestic
Kamareddy,2016-11-01,November,2016,38,Domestic
Kamareddy,2016-12-01,December,2016,42,Domestic
Karimnagar,2016-01-01,January,2016,1984442,Domestic
Karimnagar,2016-02-01,February,2016,779960,Domestic
Karimnagar,2016-03-01,March,2016,1018399,Domestic
Karimnagar,2016-04-01,April,2016,956959,Domestic
Karimnagar,2016-05-01,May,2016,1095642,Domestic
Karimnagar,2016-06-01,June,2016,914746,Domestic
Karimnagar,2016-07-01,July,2016,401047,Domestic
Karimnagar,2016-08-01,August,2016,1018399,Domestic
Karimnagar,2016-09-01,September,2016,956959,Domestic
Karimnagar,2016-10-01,October,2016,13675,Domestic
Karimnagar,2016-11-01,November,2016,13350,Domestic
Karimnagar,2016-12-01,December,2016,13890,Domestic
Khammam,2016-01-01,January,2016,651827,Domestic
Khammam,2016-02-01,February,2016,407533,Domestic
Khammam,2016-03-01,March,2016,458527,Domestic
Khammam,2016-04-01,April,2016,971622,Domestic
Khammam,2016-05-01,May,2016,433994,Domestic
