,Date
0,2016-01-01
1,2016-02-01
2,2016-03-01
3,2016-04-01
4,2016-05-01
5,2016-06-01
6,2016-07-01
7,2016-08-01
8,2016-09-01
9,2016-10-01
10,2016-11-01
11,2016-12-01
12,2017-01-01
13,2017-02-01
14,2017-03-01
15,2017-04-01
16,2017-05-01
17,2017-06-01
18,2017-07-01
19,2017-08-01
20,2017-09-01
21,2017-10-01
22,2017-11-01
23,2017-12-01
24,2018-01-01
25,2018-02-01
26,2018-03-01
27,2018-04-01
28,2018-05-01
29,2018-06-01
30,2018-07-01
31,2018-08-01
32,2018-09-01
33,2018-10-01
34,2018-11-01
35,2018-12-01
36,2019-01-01
37,2019-02-01
38,2019-03-01
39,2019-04-01
40,2019-05-01
41,2019-06-01
42,2019-07-01
43,2019-08-01
44,2019-09-01
45,2019-10-01
46,2019-11-01
47,2019-12-01
